Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
20,8/9/2021 7:04,21,8,9,7,4,1,4.6,100,0,0,0,2218,9,23.8,14,2,6.27,50,134,0.8730766,4.215587,255,3,1,0,Sniff,0,10,0,17,0.3,0,35,0,0,1,0,0,0,0,0.217,0,0,0,0
21,8/9/2021 7:09,21,8,9,7,9,27,4.6,77.8,3.7,0,0,2218,9,24.1,12,2,6.3,50,134,18.43318,9.989758,255,3,2,0,Sniff,45,25,4,21,6.6,6,35,0,0,21,1,0,0,5,4.57,0.217,0,0,1.09
22,8/9/2021 7:14,21,8,9,7,14,52,4.6,86.6,1.9,0,0,2218,9,24.1,11,2,6.27,50,134,39.49968,13.6622,255,3,3,0,Sniff,96,33,4,21,14,10,35,0,0,45,1,0,0,6,9.79,0.215,0,0,1.3
23,8/9/2021 7:19,21,8,9,7,19,67,4.6,97,0,1.5,0,2218,9,24.1,10,2,6.3,50,134,57.05508,16.01762,255,3,4,0.0155,Sniff,137,38,0,17,20,0,35,0.683,0.996,65,0,1,0,1,14.1,0,0.218,0,0.218
24,8/9/2021 7:24,21,8,9,7,24,95,4.6,92.6,0,4.2,0,2201,9,24.4,10,2,6.3,50,134,77.66132,18.41629,255,3,5,0.0454,Sniff,184,44,0,17,26.8,0,35,1.37,1.99,88,0,4,0,3,19.1,0,0.867,0,0.661
25,8/9/2021 7:29,21,8,9,7,29,138,4.6,84.1,0,9.4,0,2201,9,24.4,9,2,6.3,50,134,102.3718,20.85675,255,3,6,0.112,Sniff,241,49,0,17,35.2,0,35,2.46,3.59,116,0,13,0,9,25.2,0,2.82,0,1.95
26,8/9/2021 7:34,21,8,9,7,34,149,4.6,81.2,0.7,11.4,0,2218,9,24.4,9,2,6.3,50,134,106.7843,21.26042,255,3,7,0.14,Sniff,250,50,0,20,36.5,5,35,2.96,4.31,121,1,17,0,10,26.3,0.227,3.69,0,2.17
27,8/9/2021 7:39,21,8,9,7,39,185,4.6,80.6,0,9.2,0,2201,9,24.7,9,2,6.3,50,134,132.2094,23.50923,255,3,8,0.114,Sniff,308,55,0,17,44.9,0,35,2.82,4.11,149,0,17,0,19,32.4,0,3.7,0,4.1
28,8/9/2021 7:44,21,8,9,7,44,175,4.6,78.3,0.6,15.4,0.6,2218,9,24.7,9,2,6.3,50,134,120.9046,22.49944,255,3,9,0.197,Sniff,282,53,0,20,41.1,4,35,3.72,5.43,137,1,27,1,9,29.8,0.228,5.86,0.228,1.94
29,8/9/2021 7:49,21,8,9,7,49,249,4.6,77.9,0.4,17.3,0.8,2218,8,24.7,8,2,6.33,50,134,171.2511,26.55588,255,3,10,0.222,Sniff,398,62,2,17,57.9,3,35,4.69,6.83,194,1,43,2,9,42.2,0.217,9.36,0.433,1.95
30,8/9/2021 7:54,21,8,9,7,54,213,4.6,80.3,0,15.5,0,2218,9,24.7,8,2,6.3,50,134,151.7303,25.04858,255,3,11,0.193,Sniff,351,58,0,16,51.1,0,35,3.93,5.72,171,0,33,0,9,37.2,0,7.18,0,1.94
31,8/9/2021 7:59,21,8,9,7,59,270,4.6,76.7,0.4,17.8,0.4,2218,9,25,8,2,6.3,50,134,183.6735,27.3686,255,3,12,0.232,Sniff,423,63,2,16,61.7,3,35,4.93,7.18,207,1,48,1,13,45,0.235,10.4,0.235,2.76
32,8/9/2021 8:04,21,8,9,8,4,271,4.6,68.3,0.8,25.8,0.4,2218,9,25,8,2,6.3,50,134,164.1526,25.97726,255,3,13,0.378,Sniff,380,60,10,20,55.1,7,35,5.95,8.67,185,2,70,1,13,40.2,0.471,15.2,0.236,2.77
33,8/9/2021 8:09,21,8,9,8,9,260,4.6,66.9,0.4,26.9,0.4,2218,9,25,8,2,6.3,50,134,154.3922,25.25068,255,3,14,0.402,Sniff,355,58,0,16,51.8,1,35,5.95,8.67,174,1,70,1,14,37.8,0.226,15.2,0.226,3.05
34,8/9/2021 8:14,21,8,9,8,14,265,4.6,65.3,1.5,29.8,0,2218,9,25.3,8,2,6.3,50,134,153.5049,25.18351,255,3,15,0.456,Sniff,355,58,12,25,51.7,18,35,6.33,9.22,173,4,79,0,9,37.6,0.864,17.2,0,1.96
35,8/9/2021 8:19,21,8,9,8,19,302,4.6,59.3,0.3,37.1,0,2218,8,25.3,8,2,6.3,50,134,158.8288,25.58369,255,3,16,0.626,Sniff,368,59,0,16,53.6,0,35,7.23,10.5,179,1,112,0,10,38.9,0.197,24.4,0,2.17
