Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temperature [Celsius],Relative Humidity [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Radon 2-Sigma Uncert. [Dpm/L],Calculated Thoron [Dpm/L],Calculated Thoron 2-Sigma Uncert. [Dpm/L],Radon In Water [Dpm/L],Radon In Water 2-Sigma Uncert. [Dpm/L],Thoron In Water [Dpm/L],Thoron In Water 2-Sigma Uncert. [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [Dpm/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other)
76,8/4/2021 16:42,21,8,4,16,42,1,4.6,100,0,0,0,2218,9,29.6,12,2,6.3,50,142,0.8730766,4.215587,255,3,1,0,Thoron,2,11,0,18,0.4,1.8,0,30,29,0,0,1,0,0,0,0,0.217,0,0,0,0
77,8/4/2021 16:47,21,8,4,16,47,0,4.6,0,0,0,0,2218,9,30.2,11,2,6.3,50,142,0,3.511083,255,3,2,N/A,Thoron,0,8.9,0,18,0,1.5,0,30,28.9,0,0,0,0,0,0,0,0,0,0,0,0
78,8/4/2021 16:52,21,8,4,16,52,2,4.6,100,0,0,0,2218,9,30.8,11,2,6.3,50,142,1.755541,4.796227,255,3,3,0,Thoron,4,12,0,18,0.7,2,0,30,28.9,0,0,2,0,0,0,0,0.435,0,0,0,0
79,8/4/2021 16:57,21,8,4,16,57,0,4.6,0,0,0,0,2218,10,30.8,10,2,6.3,50,142,0,3.511083,255,3,4,N/A,Thoron,0,8.8,0,18,0,1.5,0,30,28.8,0,0,0,0,0,0,0,0,0,0,0,0
80,8/4/2021 17:02,21,8,4,17,2,1,4.6,100,0,0,0,2218,9,31.1,10,2,6.3,50,142,0.8777706,4.238252,255,3,5,0,Thoron,2,11,0,18,0.4,1.8,0,30,28.7,0,0,1,0,0,0,0,0.217,0,0,0,0
81,8/4/2021 17:07,21,8,4,17,7,2,4.6,100,0,0,0,2218,9,31.4,10,2,6.3,50,142,1.755541,4.796227,255,3,6,0,Thoron,4,12,0,18,0.8,2.1,0,30,27.8,0,0,2,0,0,0,0,0.435,0,0,0,0
82,8/4/2021 17:12,21,8,4,17,12,0,4.6,0,0,0,0,2218,9,31.7,9,2,6.3,50,142,0,3.511083,255,3,7,N/A,Thoron,0,8.8,0,18,0,1.5,0,31,27.4,0,0,0,0,0,0,0,0,0,0,0,0
83,8/4/2021 17:17,21,8,4,17,17,4,4.6,50,25,25,0,2218,10,31.7,9,2,6.3,50,142,1.746153,4.770578,255,3,8,0.5,Thoron,4,12,4,21,0.7,2,7,35,28.8,0.754,1.26,2,1,1,0,0,0.435,0.217,0.217,0,0
84,8/4/2021 17:22,21,8,4,17,22,2,4.6,50,50,0,0,2218,9,31.7,9,2,6.3,50,142,0.8730766,4.215587,255,3,9,0,Thoron,0,10,4,21,0.4,1.8,7,36,28,0,0,1,1,0,0,0,0.217,0.217,0,0,0
85,8/4/2021 17:27,21,8,4,17,27,3,4.6,100,0,0,0,2218,10,31.4,9,2,6.3,50,142,2.633312,5.266623,255,3,10,0,Thoron,6,13,0,17,1.1,2.2,0,29,28.4,0,0,3,0,0,0,0,0.652,0,0,0,0
86,8/4/2021 17:32,21,8,4,17,32,11,4.6,63.6,18.2,9.1,0,2218,10,31.1,9,2,6.3,50,142,6.144395,6.72096,255,3,11,0.143,Thoron,15,17,9,24,2.6,2.8,10,40,28.1,0.748,1.28,7,2,1,0,1,1.52,0.435,0.218,0,0.218
87,8/4/2021 17:37,21,8,4,17,37,11,4.6,81.8,0,18.2,0,2218,9,30.8,8,2,6.3,50,142,7.899934,7.30705,255,3,12,0.222,Thoron,19,18,0,17,3.4,3.1,0,30,27.3,0.966,1.68,9,0,2,0,0,1.96,0,0.435,0,0
88,8/4/2021 17:42,21,8,4,17,42,7,4.6,100,0,0,0,2218,9,30.5,8,2,6.3,50,142,6.144395,6.72096,255,3,13,0,Thoron,15,16,0,17,2.6,2.8,0,30,27.1,0,0,7,0,0,0,0,1.52,0,0,0,0
89,8/4/2021 17:47,21,8,4,17,47,11,4.6,63.6,18.2,9.1,0,2218,9,30.2,9,2,6.3,50,142,6.144395,6.72096,255,3,14,0.143,Thoron,15,16,8,23,2.6,2.8,15,41,27,0.736,1.29,7,2,1,0,1,1.52,0.435,0.218,0,0.218
90,8/4/2021 17:52,21,8,4,17,52,4,4.6,25,0,75,0,2201,10,30.2,8,2,6.3,50,142,0.8777706,4.238252,255,3,15,3,Thoron,0,10,0,17,0.4,1.8,0,30,26.9,1.18,2.07,1,0,3,0,0,0.217,0,0.652,0,0
91,8/4/2021 17:57,21,8,4,17,57,10,4.6,90,0,10,0,2218,9,29.9,8,2,6.33,50,142,7.899934,7.30705,255,3,16,0.111,Thoron,19,18,0,17,3.3,3.1,0,30,26.9,0.683,1.2,9,0,1,0,0,1.96,0,0.217,0,0
